gene,importance
gene_40728,0.02500000000000001
gene_24885,0.015
gene_30246,0.015
gene_2736,0.015
gene_16582,0.015
gene_12508,0.015
gene_1600,0.014999999999999996
gene_39984,0.014999999999999996
gene_2462,0.01
gene_37852,0.01
gene_2251,0.01
gene_40619,0.01
gene_34450,0.01
gene_31409,0.01
gene_23529,0.01
gene_5777,0.01
gene_20931,0.01
gene_20078,0.01
gene_19604,0.01
gene_30238,0.01
gene_33842,0.01
gene_33943,0.01
gene_30814,0.01
gene_2589,0.01
gene_39608,0.01
gene_40132,0.01
gene_6418,0.01
gene_22884,0.01
gene_10601,0.01
gene_32734,0.01
gene_41727,0.01
gene_9095,0.01
gene_26745,0.01
gene_5330,0.009999999999999998
gene_21081,0.009999999999999997
gene_10269,0.009999999999999995
gene_7561,0.009999999999999995
gene_26168,0.009999999999999995
gene_8071,0.009999999999999992
gene_6413,0.005000000000000009
gene_23286,0.0050000000000000044
gene_35091,0.005000000000000004
gene_6255,0.005000000000000002
gene_37038,0.005
gene_66,0.005
gene_41227,0.005
gene_2186,0.005
gene_2150,0.005
gene_37534,0.005
gene_1936,0.005
gene_38931,0.005
gene_37841,0.005
gene_1994,0.005
gene_39185,0.005
gene_65,0.005
gene_43692,0.005
gene_41219,0.005
gene_41181,0.005
gene_40092,0.005
gene_39947,0.005
gene_990,0.005
gene_19832,0.005
gene_3685,0.005
gene_28939,0.005
gene_29156,0.005
gene_27610,0.005
gene_29590,0.005
gene_4317,0.005
gene_30119,0.005
gene_30749,0.005
gene_30846,0.005
gene_31190,0.005
gene_4998,0.005
gene_25232,0.005
gene_25889,0.005
gene_26406,0.005
gene_6139,0.005
gene_21456,0.005
gene_23465,0.005
gene_23036,0.005
gene_24233,0.005
gene_29289,0.005
gene_32179,0.005
gene_32382,0.005
gene_32100,0.005
gene_32165,0.005
gene_2821,0.005
gene_2750,0.005
gene_32865,0.005
gene_2963,0.005
gene_36732,0.005
gene_36192,0.005
gene_813,0.005
gene_974,0.005
gene_9275,0.005
gene_5714,0.005
gene_18107,0.005
gene_19110,0.005
gene_18040,0.005
gene_5884,0.005
gene_22260,0.005
gene_24517,0.005
gene_23754,0.005
gene_16748,0.005
gene_7327,0.005
gene_16384,0.005
gene_17182,0.005
gene_5314,0.005
gene_7618,0.005
gene_12968,0.005
gene_14532,0.005
gene_14065,0.005
gene_12991,0.005
