,variance
gene_4801,6228305112976.813
gene_10873,4064563049900.742
gene_17044,1940540741277.6218
gene_12800,1771721071395.308
gene_4383,1125096627375.367
gene_18505,1046220284579.3251
gene_17093,1038461763215.1853
gene_17011,701606232215.1855
gene_9023,616776810594.7711
gene_4653,367810545687.64905
gene_4384,315553261164.7077
gene_16404,309697082290.36584
gene_13618,301860132680.4313
gene_8535,254378604496.61942
gene_16579,242417135048.85834
gene_8205,191275778999.1755
gene_17124,185053953543.53226
gene_299,182474903385.13742
gene_5624,181350792877.23254
gene_427,172645679657.02908
